Date,Product_ID,Product_Name,Transaction_Type,Units,Cumulative_Quantity
2021-02-01,1061607,Bukwang Pharmaceutical Co Ltd,SELL,17388.0,0.0
2021-02-01,1009161,PetroChina Co. Ltd.,BUY,6979520.0,6979520.0
2021-02-01,1046526,CHINA OILFIELD SERVICES-H,SELL,1758575.0,0.0
2021-02-01,1046572,NANYA TECHNOLOGY CORP,SELL,1057086.0,0.0
2021-02-15,1061723,S&T Motiv Co Ltd,BUY,1424.0,1424.0
2021-02-15,1046740,HANON SYSTEMS,SELL,5456.0,0.0
2021-02-15,1046165,AMOREPACIFIC CORP,SELL,2767.0,0.0
2021-02-15,1046183,LG HOUSEHOLD & HEALTH CARE,BUY,381.0,381.0
2021-02-15,1046370,SAMSUNG SECURITIES CO LTD,SELL,1703.0,0.0
2021-02-15,1046480,NH INVESTMENT & SECURITIES C,BUY,5801.0,5801.0
2021-02-15,1046145,SK HYNIX INC,SELL,5589.0,0.0
2021-02-15,1046257,LG ELECTRONICS INC,BUY,4455.0,4455.0
2021-02-15,1046620,HANMI PHARMACEUTICAL CO. LTD.,SELL,188.0,0.0
2021-02-15,1061722,SK Discovery Co Ltd,BUY,1039.0,1039.0
2021-02-15,1046548,CHINA COSCO HOLDINGS-H,BUY,1836868.0,1836868.0
2021-02-15,1046444,WEICHAI POWER CO LTD-H,SELL,550274.0,0.0
2021-04-01,1046310,SK TELECOM,SELL,288.0,0.0
2021-04-01,1046520,KT CORP,BUY,2820.0,2820.0
2021-04-01,1046736,DAELIM INDUSTRIAL LTD,SELL,769.0,0.0
2021-04-01,1046467,GS ENGINEERING & CONSTRUCT,BUY,1573.0,1573.0
2021-04-01,1046388,S-1 CORPORATION,SELL,630.0,0.0
2021-04-01,1061993,Alteogen Inc.,SELL,20353.0,0.0
2021-04-01,1046749,HOTEL SHILLA CO LTDINARY SHARES KO,BUY,598.0,598.0
2021-04-01,1061994,Seegene Inc.,BUY,13617.0,13617.0
2021-04-01,1046552,ZTE CORP-H,SELL,1487291.0,0.0
2021-04-01,1046709,SEMICONDUCTOR MANUFACTURING INTERNATIONAL Corp,BUY,1163956.0,1163956.0
2021-04-30,1046735,BNK FINANCIAL GROUP INC,SELL,11373.0,0.0
2021-04-30,1046251,LG CORP,SELL,818.0,0.0
2021-04-30,1046183,LG HOUSEHOLD & HEALTH CARE,SELL,381.0,0.0
2021-04-30,1046669,CJ CORP,SELL,772.0,0.0
2021-04-30,1061994,Seegene Inc.,SELL,13617.0,0.0
2021-04-30,1046569,SK NETWORKS CO LTD,SELL,100648.0,0.0
2021-04-30,1046257,LG ELECTRONICS INC,BUY,655.0,5110.0
2021-04-30,1046166,KB FINANCIAL GROUP INC,BUY,1590.0,1590.0
2021-04-30,1046165,AMOREPACIFIC CORP,BUY,2156.0,2156.0
2021-04-30,1046157,KT&G CORP,BUY,891.0,891.0
2021-04-30,1061761,KEPCO Engineering & Construction Co Inc,BUY,13831.0,13831.0
2021-04-30,1012332,"Celltrion, Inc.",BUY,4759.0,4759.0
2021-04-30,1046269,UNITED MICROELECTRONICS CORP,BUY,1237143.0,6834820.0
2021-04-30,1046572,NANYA TECHNOLOGY CORP,BUY,2106860.0,2106860.0
2021-04-30,1046229,CHINA TELECOM CORP LTD-H,BUY,2502236.0,2502236.0
2021-04-30,1046373,REALTEK SEMICONDUCTOR CORP,SELL,363703.0,349953.0
2021-04-30,1046479,CHINA COMMUNICATIONS SERVI-H,SELL,2027338.0,1496145.0
2021-05-17,1046234,SAMSUNG LIFE INSURANCE CO LT,SELL,1151.0,0.0
2021-05-17,1046722,HYUNDAI MARINE & FIRE INSURANCE LT,BUY,4121.0,4121.0
2021-05-17,1046275,SAMSUNG SDS CO LTD,SELL,3632.0,0.0
2021-05-17,1046143,NAVER CORP,BUY,1885.0,1885.0
2021-05-17,1046164,BOC HONG KONG HOLDINGS LTD,SELL,520576.0,0.0
2021-05-17,1012338,AIA Group Ltd,BUY,194879.0,194879.0
2021-06-15,1046244,CHEUNG KONG INFRASTRUCTURE,SELL,243419.0,0.0
2021-06-15,1046148,POWER ASSETS HOLDINGS LTD,BUY,326796.0,326796.0
2021-06-15,1046479,CHINA COMMUNICATIONS SERVI-H,SELL,1496145.0,0.0
2021-06-15,1009157,China Unicom (Hong Kong) Limited,BUY,1217448.0,3472676.0
2021-06-29,1045899,FirstEnergy Corp,BUY,127624.0,127624.0
2021-06-29,1046075,Iron Mountain Inc,BUY,1146500.0,1146500.0
2021-06-29,1046054,PVH Corp,BUY,49294.0,49294.0
2021-06-29,1046044,Huntington Bancshares Inc/OH,BUY,363381.0,363381.0
2021-06-29,1046043,Darden Restaurants Inc,BUY,34649.0,34649.0
2021-06-29,1050511,Catalent Inc,BUY,43376.0,43376.0
